dataset_id,model_variant,representation,layer,measure,estimand,fold,type,tau,predictor_scaling,training_predictor_mean,training_predictor_sd,z_train,z_test,estimate_train,std_error_train,p_value_train,estimate_test,std_error_test,p_value_test,poll_train,poll_test,optimism,n_train_rows,n_test_rows,n_train_trials,n_test_trials
AN19,ft,hubert_tsne_3d,cnn_2,overall,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,1103.00576568207,45.6702738435588,0.216311156809285,-0.356571778465741,0.0256039079506384,0.118366099688573,0.828745213051985,-0.0524976089733815,0.147228726847841,0.721412407972811,-0.67293030887052,-0.671735224088979,-0.0017759413802398,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,overall,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,1103.07791910284,47.1536395115746,-0.440287602720205,0.538626901533193,-0.0509412719184132,0.115699991559348,0.659728818548782,0.0898053836144163,0.166730223386145,0.590144321423276,-0.672588631955746,-0.672357130511754,-0.0003441947023678,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,overall,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,1104.46243400666,46.7613453409125,0.120455055717981,-0.207350237249659,0.0134733533513217,0.111853780408076,0.904122680683012,-0.0365240553058267,0.176146677188751,0.835736342898775,-0.672161420543004,-0.673267132883532,0.0016450101221735,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,within_token_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,777.066908612816,28.8752309176993,-0.764475132261761,-0.0851138756290327,-0.0914617774824417,0.119639964235128,0.444584150487755,-0.0144576410267764,0.169862327616119,0.932170859181003,-0.672602338894649,-0.671655532525082,-0.0014076762966997,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,within_token_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,779.020137836903,28.2861234398104,-0.130589551746703,-1.19175171493171,-0.0150813236803801,0.115486449556336,0.896100008440026,-0.202356709063793,0.169797707465761,0.233358613713693,-0.672589831360433,-0.671320292963221,-0.0018875373043396,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,within_token_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,778.926486740759,28.4295622408761,-0.802481368035023,-0.0106264769286544,-0.0954934520648818,0.118997718661942,0.422274561926232,-0.0017114194232437,0.161052382152066,0.991521457692208,-0.671778349324309,-0.673261352509752,0.0022075781199776,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,within_type_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,74.4682882032891,11.7916053442165,-0.279077276104648,-1.13885749776292,-0.0274013125074814,0.0981853947048217,0.780185521630914,-0.149038969975075,0.130867092913587,0.254762595362261,-0.673061857683814,-0.671390090005954,-0.0024838247165178,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,within_type_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,74.0320154358787,11.980076975704,-0.755826127003177,-0.423741565378521,-0.0770463782667862,0.101936643249251,0.44975344983703,-0.0547772285419012,0.129270369058484,0.671754298240839,-0.672637076601444,-0.672265999770773,-0.0005516746601984,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,within_type_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,74.3217629144308,12.2159286642806,-1.16629159942642,0.0605902391188217,-0.110729309651761,0.0949413591817153,0.24349656848139,0.0095367673668991,0.15739775095122,0.951685547297315,-0.67188998402466,-0.673674452959122,0.00265589453168,3840,1920,3840,1920
AN19,ft,hubert_tsne_3d,cnn_2,between_type_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,236.264245138885,27.1646036078721,0.650805513690147,0.102733814079674,0.0734445352930617,0.112851741031852,0.515172040544586,0.0163921526997791,0.159559467801578,0.918174235867318,-0.672940837373779,-0.671702365538208,-0.0018403873963189,3840,1920,3840,1920
