dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,cnn_2::overall,oof_all,,M_condition,5760,5760,3940.64763312398,0.684140214084024
AN19,cnn_2::overall,oof_all,,M_joint,5760,5760,3943.41995979027,0.684621520796923
AN19,cnn_2::overall,oof_all,,M_null,5760,5760,3974.89378964765,0.690085727369383
AN19,cnn_2::overall,oof_all,,M_predictor,5760,5760,3976.14092123593,0.690302243270127
AN19,cnn_2::overall,oof_fold,0.0,M_condition,1920,1920,1311.01126744211,0.682818368459434
AN19,cnn_2::overall,oof_fold,0.0,M_joint,1920,1920,1310.80724132674,0.682712104857677
AN19,cnn_2::overall,oof_fold,0.0,M_null,1920,1920,1331.28623790319,0.693378248907913
AN19,cnn_2::overall,oof_fold,0.0,M_predictor,1920,1920,1331.75049920188,0.693620051667644
AN19,cnn_2::overall,oof_fold,1.0,M_condition,1920,1920,1311.5346064152,0.683090940841248
AN19,cnn_2::overall,oof_fold,1.0,M_joint,1920,1920,1312.8224759408,0.683761706219166
AN19,cnn_2::overall,oof_fold,1.0,M_null,1920,1920,1324.496970267,0.689842172014063
AN19,cnn_2::overall,oof_fold,1.0,M_predictor,1920,1920,1325.20341572024,0.690210112354289
AN19,cnn_2::overall,oof_fold,2.0,M_condition,1920,1920,1318.10175926667,0.686511332951391
AN19,cnn_2::overall,oof_fold,2.0,M_joint,1920,1920,1319.79024252274,0.687390751313924
AN19,cnn_2::overall,oof_fold,2.0,M_null,1920,1920,1319.11058147745,0.687036761186173
AN19,cnn_2::overall,oof_fold,2.0,M_predictor,1920,1920,1319.18700631382,0.687076565788447
AN19,cnn_2::overall_order_sensitive,oof_all,,M_condition,5760,5760,3940.64763312398,0.684140214084024
AN19,cnn_2::overall_order_sensitive,oof_all,,M_joint,5760,5760,3940.10284940912,0.684045633577973
AN19,cnn_2::overall_order_sensitive,oof_all,,M_null,5760,5760,3974.89378964765,0.690085727369383
AN19,cnn_2::overall_order_sensitive,oof_all,,M_predictor,5760,5760,3974.82729150468,0.690074182552896
AN19,cnn_2::overall_order_sensitive,oof_fold,0.0,M_condition,1920,1920,1311.01126744211,0.682818368459434
AN19,cnn_2::overall_order_sensitive,oof_fold,0.0,M_joint,1920,1920,1311.80349564119,0.683230987313122
AN19,cnn_2::overall_order_sensitive,oof_fold,0.0,M_null,1920,1920,1331.28623790319,0.693378248907913
