dataset_id,family,variant,feature_key,estimate,std_error,z_value,p_value,conf_low,conf_high,coefficient_q_bh,chisq,df,lrt_p_value,M_condition,M_joint,M_predictor,oof_gain_joint_vs_condition,model_directory,diagnostics_valid,numerically_valid,numerical_note,layer,measure,coefficient_q_bh_all_hve
AN19,HVE overall,base,cnn_2::overall,-0.0774127114168349,0.0777726377879246,-0.99537206938935,0.31955533775665,-0.229847081481167,0.0750216586474973,0.4845047368418306,0.93660133769572,1,0.333153426041643,0.684140214084024,0.684621631320579,0.690302286799673,-0.0004814172365549263,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,cnn_2,overall,0.45410495365418685
AN19,HVE overall,base,cnn_3::overall,-0.130068305226477,0.0806690581284525,-1.6123692062868,0.106881621658792,-0.288179659158244,0.0280430487052899,0.331515381764955,2.45568790994366,1,0.117099857401705,0.684140214084024,0.685087073417107,0.69059696391509,-0.0009468593330829167,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,cnn_3,overall,0.3418265396174621
AN19,HVE overall,base,cnn_4::overall,-0.0511863998724377,0.0579202554746765,-0.883739193706026,0.376837017543646,-0.164710100602804,0.0623373008579283,0.4845047368418306,0.740634187242904,1,0.38945780104812,0.684140214084024,0.684213948595587,0.690057648465232,-7.373451156300614e-05,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,cnn_4,overall,0.4845047368418306
AN19,HVE overall,base,cnn_5::overall,0.0184206337645301,0.0845499361748757,0.217866915078806,0.82753280587431,-0.147297241138226,0.184138508667286,0.82753280587431,0.0452283691529374,1,0.831584660958752,0.684140214084024,0.684256459556154,0.690523750631328,-0.00011624547212996106,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,cnn_5,overall,0.8593609907156297
AN19,HVE overall,base,cnn_6::overall,-0.135709234910167,0.0822976789181775,-1.64900440321157,0.099146732640593,-0.297012685589795,0.025594215769461,0.331515381764955,2.55721977529083,1,0.109791510362302,0.684140214084024,0.684532318126419,0.69013333507801,-0.00039210404239498065,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,cnn_6,overall,0.3418265396174621
AN19,HVE overall,base,tr_0::overall,-0.200964374045938,0.111124346722222,-1.80846394128453,0.0705343240282186,-0.418768093621493,0.0168393455296165,0.331515381764955,3.0709343331373,1,0.0797036506017542,0.684140214084024,0.684946420180184,0.690734415178619,-0.0008062060961600004,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,tr_0,overall,0.3418265396174621
AN19,HVE overall,base,tr_10::overall,-0.0388472334744182,0.07382611867406,-0.526199049498017,0.598749914361685,-0.183546426075576,0.105851959126739,0.6735936536568956,0.263538591221732,1,0.607699451294434,0.684140214084024,0.684696210845945,0.690726656052642,-0.0005559967619209738,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,tr_10,overall,0.690904324517678
AN19,HVE overall,base,tr_12::overall,-0.0596377952605806,0.0666686817982269,-0.894539889675256,0.371033097024762,-0.190308411585105,0.0710328210639441,0.4845047368418306,0.758837822932037,1,0.38369246784838,0.684140214084024,0.684984838022394,0.690621006527529,-0.0008446239383699261,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,tr_12,overall,0.48279005395993124
AN19,HVE overall,base,tr_14::overall,0.0296110099903087,0.0936651414541069,0.316136927042567,0.751898579207815,-0.153972667259741,0.213194687240358,0.79612790739651,0.0952160537462987,1,0.757647893864529,0.684140214084024,0.684120066897377,0.690126341174328,2.0147186647001547e-05,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,tr_14,overall,0.819912401859138
AN19,HVE overall,base,tr_16::overall,-0.244104601894717,0.152954756482589,-1.5959268446974,0.110505127254985,-0.543895924600591,0.0556867208111577,0.331515381764955,2.40438350454133,1,0.120995782559822,0.684140214084024,0.684013296471195,0.690262882140054,0.00012691761282901393,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,True,True,ok,tr_16,overall,0.3418265396174621
